team_name,matches_played,total_points_scored,total_points_conceded,team_avg_points,team_success_raids,team_raid_points,team_avg_raid_points,team_success_tackles,team_tackle_points,team_avg_tackle_points,team_super_raids,team_super_tackles,team_dod_raid_points,team_allouts_inflicted,team_allouts_conceded,win
puneri-paltan,16,515,491,27.25,230,290,18.13,140,146,9.13,10,7,77,21,17,0
telugu-titans,16,506,454,26.81,206,267,16.69,157,162,10.13,7,5,76,22,13,0
patna-pirates,16,492,466,27.18,206,264,16.5,145,171,10.69,7,27,73,19,12,1
jaipur-pink-panthers,16,475,450,25.31,203,270,16.88,119,135,8.44,6,17,80,17,14,0
dabang-delhi-kc,14,419,412,25.71,162,226,16.14,116,134,9.57,11,20,84,15,16,0
u-mumba,14,399,418,24.85,188,227,16.21,110,121,8.64,4,11,42,15,21,0
bengal-warriors,14,378,438,23.35,167,202,14.43,117,125,8.93,4,8,62,11,15,0
bengaluru-bulls,14,360,415,23.21,157,201,14.36,109,124,8.86,4,15,59,9,21,0
