team_name,matches_played,total_points_scored,total_points_conceded,team_avg_points,team_success_raids,team_raid_points,team_avg_raid_points,team_success_tackles,team_tackle_points,team_avg_tackle_points,team_super_raids,team_super_tackles,team_dod_raid_points,team_allouts_inflicted,team_allouts_conceded,win
patna-pirates,16,594,468,31.62,241,324,20.25,175,182,11.38,16,7,74,30,13,1
puneri-paltan,16,510,433,27.37,203,251,15.69,174,187,11.69,9,13,87,25,13,0
u-mumba,16,502,397,26.37,206,253,15.81,163,169,10.56,7,6,59,27,12,0
bengal-warriors,16,460,449,25,213,250,15.63,137,150,9.38,4,13,70,17,18,0
telugu-titans,14,427,437,26.42,206,254,18.14,101,116,8.29,3,15,44,13,17,0
dabang-delhi-kc,14,384,525,24.57,171,233,16.64,98,111,7.93,5,13,54,9,28,0
jaipur-pink-panthers,14,364,427,22.14,149,193,13.79,101,117,8.36,8,16,59,11,22,0
bengaluru-bulls,14,362,467,22.07,158,209,14.93,94,100,7.14,9,7,69,12,21,0
