team_name,matches_played,total_points_scored,total_points_conceded,team_avg_points,team_success_raids,team_raid_points,team_avg_raid_points,team_success_tackles,team_tackle_points,team_avg_tackle_points,team_super_raids,team_super_tackles,team_dod_raid_points,team_allouts_inflicted,team_allouts_conceded,win
telugu-titans,16,586,493,32.25,265,344,21.5,158,172,10.75,16,16,66,26,15,0
bengaluru-bulls,16,508,457,26,194,252,15.75,158,164,10.25,10,7,80,25,16,0
u-mumba,16,489,426,27.06,187,237,14.81,180,196,12.25,7,16,81,20,14,1
patna-pirates,16,444,489,24.5,182,228,14.25,152,164,10.25,4,13,60,13,21,0
jaipur-pink-panthers,14,442,399,26.71,183,232,16.57,124,142,10.14,5,18,47,17,12,0
dabang-delhi-kc,14,396,464,25.21,159,217,15.5,122,136,9.71,14,14,61,13,20,0
puneri-paltan,14,391,465,24.07,170,223,15.93,104,114,8.14,8,11,56,12,21,0
bengal-warriors,14,367,430,22.85,134,184,13.14,116,136,9.71,9,21,59,10,17,0
