team_name,matches_played,total_points_scored,total_points_conceded,team_avg_points,team_success_raids,team_raid_points,team_avg_raid_points,team_success_tackles,team_tackle_points,team_avg_tackle_points,team_super_raids,team_super_tackles,team_dod_raid_points,team_allouts_inflicted,team_allouts_conceded,win
bengaluru-bulls,24,887,766,32.37,431,547,22.79,219,230,9.58,20,12,73,37,24,1
gujarat-fortunegiants,25,876,769,30.16,392,480,19.2,258,274,10.96,10,18,74,36,20,0
u-mumba,23,856,672,32.52,372,459,19.96,274,289,12.57,15,15,89,41,16,0
dabang-delhi-kc,24,822,824,29.12,401,483,20.13,198,216,9,13,19,73,34,28,0
up-yoddha,25,812,847,28.56,357,449,17.96,240,265,10.6,10,27,86,26,30,0
patna-pirates,22,799,835,31.68,406,496,22.55,186,201,9.14,11,16,54,30,30,0
bengal-warriors,23,725,734,27.65,340,436,18.96,186,200,8.7,16,16,85,23,23,0
haryana-steelers,22,715,806,29.09,361,447,20.32,180,193,8.77,12,15,45,16,33,0
jaipur-pink-panthers,22,711,780,29.09,334,415,18.86,202,225,10.23,13,25,75,22,32,0
tamil-thalaivas,22,671,741,27.63,344,419,19.05,174,189,8.59,7,15,67,20,27,0
puneri-paltan,22,649,694,25.68,286,346,15.73,189,219,9.95,7,34,71,14,29,0
telugu-titans,22,647,702,26.63,289,353,16.05,202,233,10.59,9,33,85,18,25,0
