team_name,matches_played,total_points_scored,total_points_conceded,team_avg_points,team_success_raids,team_raid_points,team_avg_raid_points,team_success_tackles,team_tackle_points,team_avg_tackle_points,team_super_raids,team_super_tackles,team_dod_raid_points,team_allouts_inflicted,team_allouts_conceded,win
jaipur-pink-panthers,16,579,458,32.12,270,344,21.5,158,170,10.63,9,12,50,29,15,1
u-mumba,16,550,499,31.5,270,347,21.69,145,157,9.81,12,12,40,21,19,0
patna-pirates,16,504,487,28.62,253,316,19.75,124,142,8.88,13,18,42,18,17,0
bengaluru-bulls,16,498,479,28.37,225,291,18.19,153,163,10.19,7,10,40,20,15,0
telugu-titans,14,497,474,31.42,272,336,24,96,104,7.43,8,8,31,25,14,0
dabang-delhi-kc,14,456,471,29.92,246,285,20.36,124,134,9.57,5,10,31,18,23,0
bengal-warriors,14,430,515,28.92,213,283,20.21,106,122,8.71,11,16,30,11,25,0
puneri-paltan,14,405,536,26.85,204,269,19.21,93,107,7.64,11,14,48,12,26,0
